PlanId,BrandId,BreweryId,BarCode,QRCode
3,2,1,11003061,2689907825
3,2,1,11003061,3431877358
3,2,1,11003061,4786000022
3,2,1,11003061,5115718508
3,2,1,11003061,5122815406
3,2,1,11003061,5233898338
3,2,1,11003061,6275209995
3,2,1,11003061,8059232330
3,2,1,11003061,9260647188
3,2,1,11003061,9937971064
3,2,1,11003063,464826664
3,2,1,11003063,589921262
3,2,1,11003063,3707947860
3,2,1,11003063,3892554635
3,2,1,11003063,4204847962
3,2,1,11003063,4466282714
3,2,1,11003063,4639022796
3,2,1,11003063,5001233132
3,2,1,11003063,5613222096
3,2,1,11003063,5947957095
3,2,1,11003063,7253462144
3,2,1,11003063,8245120455
3,2,1,11003063,9680649417
3,2,1,11003063,9765023693
3,2,1,11003069,728964937
3,2,1,11003069,1667775135
3,2,1,11003069,4089256952
3,2,1,11003069,5641709607
3,2,1,11003069,5780193480
3,2,1,11003069,6304131290
3,2,1,11003069,6304359829
3,2,1,11003069,7181525515
3,2,1,11003069,7537725372
3,2,1,11003069,7916743670
3,2,1,11003069,8199888727
3,2,1,11003069,8336574135
3,2,1,11003069,9077538079
3,2,1,11003069,9929461164
3,2,1,11003073,46671368
3,2,1,11003073,394915336
3,2,1,11003073,1947504945
3,2,1,11003073,2666675780
3,2,1,11003073,2827905282
3,2,1,11003073,2919591582
3,2,1,11003073,3023295418
3,2,1,11003073,3636512008
3,2,1,11003073,3930424071
3,2,1,11003073,6158597985
3,2,1,11003073,6718586802
3,2,1,11003073,7102378819
3,2,1,11003073,7451833209
3,2,1,11003073,9083634249
3,2,1,11003078,86458281
3,2,1,11003078,420883869
3,2,1,11003078,1263550069
3,2,1,11003078,1427278281
3,2,1,11003078,2911975519
3,2,1,11003078,5525451913
3,2,1,11003078,5639338737
3,2,1,11003078,6247063323
3,2,1,11003078,6601941021
3,2,1,11003078,6737068835
3,2,1,11003078,7221356160
3,2,1,11003078,7641222515
3,2,1,11003078,8044314787
3,2,1,11003078,9073537619
3,2,1,11003079,256912618
3,2,1,11003079,1570947600
3,2,1,11003079,1982023865
3,2,1,11003079,2981695712
3,2,1,11003079,3047872947
3,2,1,11003079,3107730325
3,2,1,11003079,3354759345
3,2,1,11003079,4099171210
3,2,1,11003079,4243061976
3,2,1,11003079,6379764013
3,2,1,11003079,6962964867
3,2,1,11003079,8904621842
3,2,1,11003079,8996914988
3,2,1,11003079,9744100284
3,2,1,11003083,574350857
3,2,1,11003083,3515885410
3,2,1,11003083,3522609465
3,2,1,11003083,3543600807
3,2,1,11003083,7065061587
3,2,1,11003083,7105162151
3,2,1,11003083,7369791875
3,2,1,11003083,7376033529
3,2,1,11003083,7734374925
3,2,1,11003083,7959262558
3,2,1,11003083,8069352104
3,2,1,11003083,8371334120
3,2,1,11003083,8417992140
3,2,1,11003083,8670056821
3,2,1,11003085,1107696763
3,2,1,11003085,1760561851
3,2,1,11003085,2771035261
3,2,1,11003085,2969187115
3,2,1,11003085,3455248015
3,2,1,11003085,4136668853
3,2,1,11003085,4552725285
3,2,1,11003085,4740208557
3,2,1,11003085,5442467045
3,2,1,11003085,5451916727
